observation_date,observation_count,status,species_name
2011-05-15,76.0,past,Yellow_Warbler
2011-05-22,62.0,past,Yellow_Warbler
2011-05-29,57.5,past,Yellow_Warbler
2011-06-05,30.0,past,Yellow_Warbler
2011-06-12,36.0,past,Yellow_Warbler
2011-06-19,28.0,past,Yellow_Warbler
2011-06-26,8.0,past,Yellow_Warbler
2011-07-03,30.0,past,Yellow_Warbler
2011-07-10,9.0,past,Yellow_Warbler
2011-07-17,8.0,past,Yellow_Warbler
2011-07-24,6.0,past,Yellow_Warbler
2011-07-31,7.0,past,Yellow_Warbler
2011-08-07,1.0,past,Yellow_Warbler
2011-08-14,0.0,past,Yellow_Warbler
2011-08-21,1.0,past,Yellow_Warbler
2011-08-28,3.0,past,Yellow_Warbler
2011-09-04,2.0,past,Yellow_Warbler
2011-09-11,0.0,past,Yellow_Warbler
2011-09-18,2.0,past,Yellow_Warbler
2011-09-25,0.0,past,Yellow_Warbler
2011-10-02,0.0,past,Yellow_Warbler
2011-10-09,0.0,past,Yellow_Warbler
2011-10-16,0.0,past,Yellow_Warbler
2011-10-23,0.0,past,Yellow_Warbler
2011-10-30,0.0,past,Yellow_Warbler
2011-11-06,0.0,past,Yellow_Warbler
2011-11-13,0.0,past,Yellow_Warbler
2011-11-20,0.0,past,Yellow_Warbler
2011-11-27,0.0,past,Yellow_Warbler
2011-12-04,0.0,past,Yellow_Warbler
2011-12-11,0.0,past,Yellow_Warbler
2011-12-18,0.0,past,Yellow_Warbler
2011-12-25,0.0,past,Yellow_Warbler
2012-01-01,0.0,past,Yellow_Warbler
2012-01-08,0.0,past,Yellow_Warbler
2012-01-15,0.0,past,Yellow_Warbler
2012-01-22,0.0,past,Yellow_Warbler
2012-01-29,0.0,past,Yellow_Warbler
2012-02-05,0.0,past,Yellow_Warbler
2012-02-12,0.0,past,Yellow_Warbler
2012-02-19,0.0,past,Yellow_Warbler
2012-02-26,0.0,past,Yellow_Warbler
2012-03-04,0.0,past,Yellow_Warbler
2012-03-11,0.0,past,Yellow_Warbler
2012-03-18,0.0,past,Yellow_Warbler
2012-03-25,0.0,past,Yellow_Warbler
2012-04-01,0.0,past,Yellow_Warbler
2012-04-08,0.0,past,Yellow_Warbler
2012-04-15,0.0,past,Yellow_Warbler
2012-04-22,23.0,past,Yellow_Warbler
2012-04-29,249.0,past,Yellow_Warbler
2012-05-06,251.0,past,Yellow_Warbler
2012-05-13,279.0,past,Yellow_Warbler
2012-05-20,230.0,past,Yellow_Warbler
2012-05-27,125.0,past,Yellow_Warbler
2012-06-03,196.0,past,Yellow_Warbler
2012-06-10,120.0,past,Yellow_Warbler
2012-06-17,105.0,past,Yellow_Warbler
2012-06-24,47.0,past,Yellow_Warbler
2012-07-01,32.0,past,Yellow_Warbler
2012-07-08,21.5,past,Yellow_Warbler
2012-07-15,22.0,past,Yellow_Warbler
2012-07-22,4.0,past,Yellow_Warbler
2012-07-29,18.0,past,Yellow_Warbler
2012-08-05,3.0,past,Yellow_Warbler
2012-08-12,22.0,past,Yellow_Warbler
2012-08-19,5.0,past,Yellow_Warbler
2012-08-26,0.0,past,Yellow_Warbler
2012-09-02,0.0,past,Yellow_Warbler
2012-09-09,0.0,past,Yellow_Warbler
2012-09-16,1.0,past,Yellow_Warbler
2012-09-23,0.0,past,Yellow_Warbler
2012-09-30,0.0,past,Yellow_Warbler
2012-10-07,0.0,past,Yellow_Warbler
2012-10-14,0.0,past,Yellow_Warbler
2012-10-21,0.0,past,Yellow_Warbler
2012-10-28,0.0,past,Yellow_Warbler
2012-11-04,0.0,past,Yellow_Warbler
2012-11-11,0.0,past,Yellow_Warbler
2012-11-18,0.0,past,Yellow_Warbler
2012-11-25,0.0,past,Yellow_Warbler
2012-12-02,0.0,past,Yellow_Warbler
2012-12-09,0.0,past,Yellow_Warbler
2012-12-16,0.0,past,Yellow_Warbler
2012-12-23,0.0,past,Yellow_Warbler
2012-12-30,0.0,past,Yellow_Warbler
2013-02-24,0.0,past,Yellow_Warbler
2013-03-03,0.0,past,Yellow_Warbler
2013-03-10,0.0,past,Yellow_Warbler
2013-03-17,0.0,past,Yellow_Warbler
2013-03-24,0.0,past,Yellow_Warbler
2013-03-31,0.0,past,Yellow_Warbler
2013-04-07,0.0,past,Yellow_Warbler
2013-04-14,0.0,past,Yellow_Warbler
2013-04-21,0.0,past,Yellow_Warbler
2013-04-28,21.0,past,Yellow_Warbler
2013-05-05,107.0,past,Yellow_Warbler
2013-05-12,206.0,past,Yellow_Warbler
2013-05-19,232.0,past,Yellow_Warbler
2013-05-26,282.5,past,Yellow_Warbler
2013-06-02,104.5,past,Yellow_Warbler
2013-06-09,84.0,past,Yellow_Warbler
2013-06-16,172.5,past,Yellow_Warbler
2013-06-23,80.0,past,Yellow_Warbler
2013-06-30,40.5,past,Yellow_Warbler
2013-07-07,42.0,past,Yellow_Warbler
2013-07-14,52.0,past,Yellow_Warbler
2013-07-21,23.0,past,Yellow_Warbler
2013-07-28,46.0,past,Yellow_Warbler
2013-08-04,35.0,past,Yellow_Warbler
2013-08-11,37.0,past,Yellow_Warbler
2013-08-18,32.0,past,Yellow_Warbler
2013-08-25,8.0,past,Yellow_Warbler
2013-09-01,4.0,past,Yellow_Warbler
2013-09-08,2.0,past,Yellow_Warbler
2013-09-15,1.0,past,Yellow_Warbler
2013-09-22,4.0,past,Yellow_Warbler
2013-09-29,2.0,past,Yellow_Warbler
2013-10-06,0.0,past,Yellow_Warbler
2013-10-13,0.0,past,Yellow_Warbler
2013-10-20,0.0,past,Yellow_Warbler
2013-10-27,0.0,past,Yellow_Warbler
2013-11-03,0.0,past,Yellow_Warbler
2013-11-10,0.0,past,Yellow_Warbler
2013-11-17,0.0,past,Yellow_Warbler
2013-11-24,0.0,past,Yellow_Warbler
2013-12-01,0.0,past,Yellow_Warbler
2013-12-08,0.0,past,Yellow_Warbler
2013-12-15,0.0,past,Yellow_Warbler
2013-12-22,0.0,past,Yellow_Warbler
2013-12-29,0.0,past,Yellow_Warbler
2014-02-02,0.0,past,Yellow_Warbler
2014-02-09,0.0,past,Yellow_Warbler
2014-02-16,0.0,past,Yellow_Warbler
2014-02-23,0.0,past,Yellow_Warbler
2014-03-02,0.0,past,Yellow_Warbler
2014-03-09,0.0,past,Yellow_Warbler
2014-03-16,0.0,past,Yellow_Warbler
2014-03-23,0.0,past,Yellow_Warbler
2014-03-30,0.0,past,Yellow_Warbler
2014-04-06,0.0,past,Yellow_Warbler
2014-04-13,0.0,past,Yellow_Warbler
2014-04-20,0.0,past,Yellow_Warbler
2014-04-27,1.0,past,Yellow_Warbler
2014-05-04,23.0,past,Yellow_Warbler
2014-05-11,238.0,past,Yellow_Warbler
2014-05-18,327.0,past,Yellow_Warbler
2014-05-25,226.0,past,Yellow_Warbler
2014-06-01,213.0,past,Yellow_Warbler
2014-06-08,138.0,past,Yellow_Warbler
2014-06-15,125.0,past,Yellow_Warbler
2014-06-22,113.0,past,Yellow_Warbler
2014-06-29,175.0,past,Yellow_Warbler
2014-07-06,54.0,past,Yellow_Warbler
2014-07-13,25.0,past,Yellow_Warbler
2014-07-20,37.0,past,Yellow_Warbler
2014-07-27,125.0,past,Yellow_Warbler
2014-08-03,40.0,past,Yellow_Warbler
2014-08-10,33.0,past,Yellow_Warbler
