observation_date,observation_count,status,species_name
2011-01-30,0.0,past,Yellow-rumped_Warbler
2011-02-06,2.0,past,Yellow-rumped_Warbler
2011-02-13,0.0,past,Yellow-rumped_Warbler
2011-02-20,0.0,past,Yellow-rumped_Warbler
2011-02-27,0.0,past,Yellow-rumped_Warbler
2011-03-06,0.0,past,Yellow-rumped_Warbler
2011-03-13,0.0,past,Yellow-rumped_Warbler
2011-03-20,4.0,past,Yellow-rumped_Warbler
2011-03-27,1.0,past,Yellow-rumped_Warbler
2011-04-03,3.0,past,Yellow-rumped_Warbler
2011-04-10,12.0,past,Yellow-rumped_Warbler
2011-04-17,30.0,past,Yellow-rumped_Warbler
2011-04-24,133.0,past,Yellow-rumped_Warbler
2011-05-01,29.0,past,Yellow-rumped_Warbler
2011-05-08,134.5,past,Yellow-rumped_Warbler
2011-05-15,34.0,past,Yellow-rumped_Warbler
2011-05-22,6.0,past,Yellow-rumped_Warbler
2011-05-29,1.0,past,Yellow-rumped_Warbler
2011-06-05,0.0,past,Yellow-rumped_Warbler
2011-06-12,0.0,past,Yellow-rumped_Warbler
2011-06-19,0.0,past,Yellow-rumped_Warbler
2011-06-26,0.0,past,Yellow-rumped_Warbler
2011-07-03,0.0,past,Yellow-rumped_Warbler
2011-07-10,0.0,past,Yellow-rumped_Warbler
2011-07-17,0.0,past,Yellow-rumped_Warbler
2011-07-24,0.0,past,Yellow-rumped_Warbler
2011-07-31,0.0,past,Yellow-rumped_Warbler
2011-08-07,0.0,past,Yellow-rumped_Warbler
2011-08-14,0.0,past,Yellow-rumped_Warbler
2011-08-21,0.0,past,Yellow-rumped_Warbler
2011-08-28,0.0,past,Yellow-rumped_Warbler
2011-09-04,1.0,past,Yellow-rumped_Warbler
2011-09-11,6.5,past,Yellow-rumped_Warbler
2011-09-18,15.0,past,Yellow-rumped_Warbler
2011-09-25,0.0,past,Yellow-rumped_Warbler
2011-10-02,3.0,past,Yellow-rumped_Warbler
2011-10-09,137.0,past,Yellow-rumped_Warbler
2011-10-16,235.0,past,Yellow-rumped_Warbler
2011-10-23,179.0,past,Yellow-rumped_Warbler
2011-10-30,90.5,past,Yellow-rumped_Warbler
2011-11-06,42.0,past,Yellow-rumped_Warbler
2011-11-13,1.0,past,Yellow-rumped_Warbler
2011-11-20,1.0,past,Yellow-rumped_Warbler
2011-11-27,8.0,past,Yellow-rumped_Warbler
2011-12-04,2.0,past,Yellow-rumped_Warbler
2011-12-11,0.0,past,Yellow-rumped_Warbler
2011-12-18,0.0,past,Yellow-rumped_Warbler
2011-12-25,1.0,past,Yellow-rumped_Warbler
2012-01-01,1.0,past,Yellow-rumped_Warbler
2012-01-08,2.0,past,Yellow-rumped_Warbler
2012-01-15,6.0,past,Yellow-rumped_Warbler
2012-01-22,2.0,past,Yellow-rumped_Warbler
